Using device: cuda
Total samples: 4899
Epoch 2 | Step 1060/2449 | Loss: 0.033742 (Chamfer=0.006103, Repulse=0.276312, Smooth=0.000151)
Epoch 2 | Step 1080/2449 | Loss: 0.030798 (Chamfer=0.008742, Repulse=0.220496, Smooth=0.000144)
Epoch 2 | Step 1100/2449 | Loss: 0.041953 (Chamfer=0.009866, Repulse=0.320799, Smooth=0.000146)
Epoch 2 | Step 1120/2449 | Loss: 0.036214 (Chamfer=0.009210, Repulse=0.269973, Smooth=0.000136)
Epoch 2 | Step 1140/2449 | Loss: 0.035243 (Chamfer=0.009867, Repulse=0.253701, Smooth=0.000118)
Epoch 2 | Step 1160/2449 | Loss: 0.029767 (Chamfer=0.006265, Repulse=0.234954, Smooth=0.000131)
Epoch 2 | Step 1180/2449 | Loss: 0.045011 (Chamfer=0.009207, Repulse=0.357980, Smooth=0.000130)
Epoch 2 | Step 1200/2449 | Loss: 0.046050 (Chamfer=0.012841, Repulse=0.332017, Smooth=0.000147)
Epoch 2 | Step 1220/2449 | Loss: 0.028409 (Chamfer=0.009396, Repulse=0.190070, Smooth=0.000126)
Epoch 2 | Step 1240/2449 | Loss: 0.029915 (Chamfer=0.005961, Repulse=0.239470, Smooth=0.000140)
Epoch 2 | Step 1260/2449 | Loss: 0.033156 (Chamfer=0.009781, Repulse=0.233671, Smooth=0.000143)
Epoch 2 | Step 1280/2449 | Loss: 0.029543 (Chamfer=0.012671, Repulse=0.168629, Smooth=0.000172)
Epoch 2 | Step 1300/2449 | Loss: 0.038486 (Chamfer=0.007738, Repulse=0.307407, Smooth=0.000129)
Epoch 2 | Step 1320/2449 | Loss: 0.039815 (Chamfer=0.011751, Repulse=0.280556, Smooth=0.000153)
Epoch 2 | Step 1340/2449 | Loss: 0.026886 (Chamfer=0.005481, Repulse=0.213981, Smooth=0.000126)
Epoch 2 | Step 1360/2449 | Loss: 0.035285 (Chamfer=0.009010, Repulse=0.262688, Smooth=0.000125)
Epoch 2 | Step 1380/2449 | Loss: 0.042032 (Chamfer=0.014611, Repulse=0.274155, Smooth=0.000120)
Epoch 2 | Step 1400/2449 | Loss: 0.049005 (Chamfer=0.014187, Repulse=0.348107, Smooth=0.000145)
Epoch 2 | Step 1420/2449 | Loss: 0.028375 (Chamfer=0.006875, Repulse=0.214927, Smooth=0.000145)
Epoch 2 | Step 1440/2449 | Loss: 0.036576 (Chamfer=0.005918, Repulse=0.306515, Smooth=0.000124)
Epoch 2 | Step 1460/2449 | Loss: 0.036878 (Chamfer=0.010193, Repulse=0.266778, Smooth=0.000148)
Epoch 2 | Step 1480/2449 | Loss: 0.034679 (Chamfer=0.008626, Repulse=0.260460, Smooth=0.000150)
Epoch 2 | Step 1500/2449 | Loss: 0.024303 (Chamfer=0.004642, Repulse=0.196530, Smooth=0.000163)
Epoch 2 | Step 1520/2449 | Loss: 0.028631 (Chamfer=0.004791, Repulse=0.238323, Smooth=0.000153)
Epoch 2 | Step 1540/2449 | Loss: 0.032914 (Chamfer=0.009425, Repulse=0.234811, Smooth=0.000168)
Epoch 2 | Step 1560/2449 | Loss: 0.032005 (Chamfer=0.009192, Repulse=0.228059, Smooth=0.000134)
Epoch 2 | Step 1580/2449 | Loss: 0.026579 (Chamfer=0.005728, Repulse=0.208430, Smooth=0.000159)
Epoch 2 | Step 1600/2449 | Loss: 0.039930 (Chamfer=0.015947, Repulse=0.239749, Smooth=0.000175)
Epoch 2 | Step 1620/2449 | Loss: 0.039836 (Chamfer=0.007802, Repulse=0.320265, Smooth=0.000158)
Epoch 2 | Step 1640/2449 | Loss: 0.035943 (Chamfer=0.013260, Repulse=0.226764, Smooth=0.000128)
Epoch 2 | Step 1660/2449 | Loss: 0.030304 (Chamfer=0.007639, Repulse=0.226586, Smooth=0.000127)
Epoch 2 | Step 1680/2449 | Loss: 0.038784 (Chamfer=0.011633, Repulse=0.271434, Smooth=0.000158)
Epoch 2 | Step 1700/2449 | Loss: 0.034107 (Chamfer=0.010607, Repulse=0.234920, Smooth=0.000159)
Epoch 2 | Step 1720/2449 | Loss: 0.026925 (Chamfer=0.009358, Repulse=0.175599, Smooth=0.000143)
Epoch 2 | Step 1740/2449 | Loss: 0.044981 (Chamfer=0.015524, Repulse=0.294470, Smooth=0.000191)
Epoch 2 | Step 1760/2449 | Loss: 0.040891 (Chamfer=0.009281, Repulse=0.316024, Smooth=0.000148)
Epoch 2 | Step 1780/2449 | Loss: 0.035462 (Chamfer=0.012475, Repulse=0.229800, Smooth=0.000133)
Epoch 2 | Step 1800/2449 | Loss: 0.032898 (Chamfer=0.007753, Repulse=0.251388, Smooth=0.000141)
Epoch 2 | Step 1820/2449 | Loss: 0.041163 (Chamfer=0.009335, Repulse=0.318217, Smooth=0.000128)
Epoch 2 | Step 1840/2449 | Loss: 0.030148 (Chamfer=0.006775, Repulse=0.233689, Smooth=0.000093)
Epoch 2 | Step 1860/2449 | Loss: 0.031177 (Chamfer=0.009160, Repulse=0.220102, Smooth=0.000137)
Epoch 2 | Step 1880/2449 | Loss: 0.039740 (Chamfer=0.010590, Repulse=0.291428, Smooth=0.000144)
Epoch 2 | Step 1900/2449 | Loss: 0.032953 (Chamfer=0.009938, Repulse=0.230077, Smooth=0.000139)
Epoch 2 | Step 1920/2449 | Loss: 0.034421 (Chamfer=0.006096, Repulse=0.283164, Smooth=0.000164)
Epoch 2 | Step 1940/2449 | Loss: 0.035549 (Chamfer=0.012709, Repulse=0.228324, Smooth=0.000142)
Epoch 2 | Step 1960/2449 | Loss: 0.042264 (Chamfer=0.011393, Repulse=0.308635, Smooth=0.000148)
Epoch 2 | Step 1980/2449 | Loss: 0.025207 (Chamfer=0.008493, Repulse=0.167063, Smooth=0.000150)
Epoch 2 | Step 2000/2449 | Loss: 0.038929 (Chamfer=0.008603, Repulse=0.303183, Smooth=0.000134)
Epoch 2 | Step 2020/2449 | Loss: 0.034633 (Chamfer=0.012959, Repulse=0.216660, Smooth=0.000170)
Epoch 2 | Step 2040/2449 | Loss: 0.043892 (Chamfer=0.013891, Repulse=0.299943, Smooth=0.000138)
Epoch 2 | Step 2060/2449 | Loss: 0.038567 (Chamfer=0.012483, Repulse=0.260765, Smooth=0.000159)
Epoch 2 | Step 2080/2449 | Loss: 0.033393 (Chamfer=0.012737, Repulse=0.206482, Smooth=0.000161)
Epoch 2 | Step 2100/2449 | Loss: 0.032381 (Chamfer=0.009787, Repulse=0.225883, Smooth=0.000121)
Epoch 2 | Step 2120/2449 | Loss: 0.036404 (Chamfer=0.006967, Repulse=0.294303, Smooth=0.000130)
Epoch 2 | Step 2140/2449 | Loss: 0.038596 (Chamfer=0.011215, Repulse=0.273728, Smooth=0.000147)
